job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542190	roberta	prototype	D2.5 (CBDC no-label-select)	positive	0.5097	0.5494	0.5288	1103	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D3 (debias_vl->CBDC)	negative	0.4655	0.5934	0.5217	1001	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D3 (debias_vl->CBDC)	neutral	0.6269	0.0294	0.0561	1430	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D3 (debias_vl->CBDC)	positive	0.4112	0.8169	0.5471	1103	candidate/logs/slurm_new_542190.log
542203	bert	prototype	B1 (raw)	negative	0.5338	0.4575	0.4927	1001	candidate/logs/slurm_new_542203.log
542203	bert	prototype	B1 (raw)	neutral	0.5123	0.058	0.1043	1430	candidate/logs/slurm_new_542203.log
542203	bert	prototype	B1 (raw)	positive	0.3874	0.883	0.5386	1103	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D1 (debias_vl)	negative	0.4454	0.5784	0.5033	1001	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D1 (debias_vl)	neutral	0.4655	0.5049	0.4844	1430	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D1 (debias_vl)	positive	0.5842	0.3617	0.4468	1103	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2 (CBDC)	negative	0.5616	0.3826	0.4551	1001	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2 (CBDC)	neutral	0.4576	0.3357	0.3873	1430	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2 (CBDC)	positive	0.4271	0.6981	0.5299	1103	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2.5 (CBDC no-label-select)	negative	0.6504	0.1469	0.2396	1001	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2.5 (CBDC no-label-select)	neutral	0.4365	0.7	0.5377	1430	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D2.5 (CBDC no-label-select)	positive	0.464	0.427	0.4448	1103	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D3 (debias_vl->CBDC)	negative	0.5581	0.3886	0.4582	1001	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D3 (debias_vl->CBDC)	neutral	0.4896	0.1154	0.1868	1430	candidate/logs/slurm_new_542203.log
542203	bert	prototype	D3 (debias_vl->CBDC)	positive	0.3848	0.8722	0.534	1103	candidate/logs/slurm_new_542203.log
542240	bertweet	prototype	B1 (raw)	negative	0.2956	0.7043	0.4164	1001	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	B1 (raw)	neutral	0.4309	0.2245	0.2952	1430	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	B1 (raw)	positive	0.3515	0.1287	0.1885	1103	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D1 (debias_vl)	negative	0.2891	0.4785	0.3604	1001	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D1 (debias_vl)	neutral	0.4374	0.3273	0.3744	1430	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D1 (debias_vl)	positive	0.3519	0.2575	0.2974	1103	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D2 (CBDC)	negative	0.2933	0.5834	0.3904	1001	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D2 (CBDC)	neutral	0.4215	0.2573	0.3196	1430	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D2 (CBDC)	positive	0.3582	0.2176	0.2707	1103	candidate/logs/slurm_new_542240.log
