file	model	method	dims	condition	n_samples	centroid_sep	within_spread	sep_spread_ratio
tsne3d_bert_test.csv	bert	tsne	3	D3 (debias_vl->CBDC)	1200	7.164040489466479	26.662179336033166	0.2686967332705802
tsne3d_bert_uncased_test.csv	bert_uncased	tsne	3	B1 (raw)	1200	5.443694858306851	24.391909000885985	0.22317625316284675
tsne3d_bert_uncased_test.csv	bert_uncased	tsne	3	D1 (debias_vl)	1200	1.1254344959821916	14.458285614751537	0.0778401067712987
tsne3d_bert_uncased_test.csv	bert_uncased	tsne	3	D2 (CBDC)	1200	4.775641987313118	24.861126257290834	0.1920927450305113
tsne3d_bert_uncased_test.csv	bert_uncased	tsne	3	D2.5 (CBDC no-label-select)	1200	4.6862292284659945	24.916801007323617	0.1880750754115107
tsne3d_bert_uncased_test.csv	bert_uncased	tsne	3	D3 (debias_vl->CBDC)	1200	4.894975910412005	25.348940097696012	0.1931037704750785
tsne3d_bertweet_test.csv	bertweet	tsne	3	B1 (raw)	1200	4.8239487684562645	28.62896354772339	0.16849889659522344
tsne3d_bertweet_test.csv	bertweet	tsne	3	D1 (debias_vl)	1200	1.1340288040161652	16.92344624791355	0.06700933057036045
tsne3d_bertweet_test.csv	bertweet	tsne	3	D2 (CBDC)	1200	6.923099661233479	25.83147338170329	0.26801025086463653
tsne3d_bertweet_test.csv	bertweet	tsne	3	D2.5 (CBDC no-label-select)	1200	8.111880363963342	27.060355900124126	0.2997699067190071
tsne3d_bertweet_test.csv	bertweet	tsne	3	D3 (debias_vl->CBDC)	1200	5.914826992026114	29.5417235058075	0.20021942832358242
tsne3d_qwen25_3b_test.csv	qwen25_3b	tsne	3	B1 (raw)	1200	4.467261409610749	22.8465391711281	0.1955333968155741
tsne3d_qwen25_3b_test.csv	qwen25_3b	tsne	3	D1 (debias_vl)	1200	1.5433518246437636	14.176652520869764	0.1088657440373714
tsne3d_qwen25_3b_test.csv	qwen25_3b	tsne	3	D2 (CBDC)	1200	3.41804587245448	22.102710645252262	0.15464374154437424
tsne3d_qwen25_3b_test.csv	qwen25_3b	tsne	3	D2.5 (CBDC no-label-select)	1200	3.727623641570874	22.0055920313398	0.16939438104015053
tsne3d_qwen25_3b_test.csv	qwen25_3b	tsne	3	D3 (debias_vl->CBDC)	1200	4.9384700053827295	22.685189904363057	0.2176957753583941
tsne3d_roberta_large_test.csv	roberta_large	tsne	3	B1 (raw)	1200	0.973484949762542	13.820435343970919	0.07043808140148196
tsne3d_roberta_large_test.csv	roberta_large	tsne	3	D1 (debias_vl)	1200	0.4505116030646585	10.414808174596022	0.04325683157214111
tsne3d_roberta_large_test.csv	roberta_large	tsne	3	D2 (CBDC)	1200	0.6857083022018946	14.585344140406393	0.047013515457770244
tsne3d_roberta_large_test.csv	roberta_large	tsne	3	D2.5 (CBDC no-label-select)	1200	0.7493265715077947	14.616142007265198	0.05126705604908117
tsne3d_roberta_large_test.csv	roberta_large	tsne	3	D3 (debias_vl->CBDC)	1200	1.0347807150449198	13.985882223948154	0.07398751816121082
tsne3d_roberta_test.csv	roberta	tsne	3	B1 (raw)	1200	2.3357931773098923	16.653817716871547	0.14025571896007732
tsne3d_roberta_test.csv	roberta	tsne	3	D1 (debias_vl)	1200	1.5508666859181524	11.493500773583591	0.1349342307856828
tsne3d_roberta_test.csv	roberta	tsne	3	D2 (CBDC)	1200	3.6046021361596225	16.34795969198794	0.22049247759805904
tsne3d_roberta_test.csv	roberta	tsne	3	D2.5 (CBDC no-label-select)	1200	3.243470588126146	16.165707757049812	0.20063894738612226
tsne3d_roberta_test.csv	roberta	tsne	3	D3 (debias_vl->CBDC)	1200	0.9690575098052668	15.046270101023971	0.06440516508734731
tsne_bert_large_cased_test.csv	bert_large_cased	tsne	2	B1 (raw)	1200	5.560438782401127	42.675534262742936	0.1302957040482927
tsne_bert_large_cased_test.csv	bert_large_cased	tsne	2	D1 (debias_vl)	1200	2.666261221039458	18.291189595217872	0.14576751321502548
tsne_bert_large_cased_test.csv	bert_large_cased	tsne	2	D2 (CBDC)	1200	6.4752877700452105	42.48708505663385	0.1524060255349095
tsne_bert_large_cased_test.csv	bert_large_cased	tsne	2	D2.5 (CBDC no-label-select)	1200	5.522332898938925	42.87125450949819	0.1288120201314716
tsne_bert_large_cased_test.csv	bert_large_cased	tsne	2	D3 (debias_vl->CBDC)	1200	7.770741174382753	41.897127392596595	0.18547193227753073
tsne_bert_large_uncased_test.csv	bert_large_uncased	tsne	2	B1 (raw)	1200	6.179861048842085	44.72959098236129	0.13816046409364793
tsne_bert_large_uncased_test.csv	bert_large_uncased	tsne	2	D1 (debias_vl)	1200	1.949668357292234	22.174413529307746	0.08792423550302121
tsne_bert_large_uncased_test.csv	bert_large_uncased	tsne	2	D2 (CBDC)	1200	6.751951367096879	46.1993796529676	0.14614809587953353
tsne_bert_large_uncased_test.csv	bert_large_uncased	tsne	2	D2.5 (CBDC no-label-select)	1200	6.913517346889816	45.15412255763655	0.15310932768243082
tsne_bert_large_uncased_test.csv	bert_large_uncased	tsne	2	D3 (debias_vl->CBDC)	1200	6.975951063829714	46.30979556508773	0.15063661971958217
tsne_bert_test.csv	bert	tsne	2	B1 (raw)	1200	8.207915564907319	42.541536429806634	0.19293886055221224
tsne_bert_test.csv	bert	tsne	2	D1 (debias_vl)	1200	5.316301686575277	18.02099560035994	0.2950059921477975
tsne_bert_test.csv	bert	tsne	2	D2 (CBDC)	1200	7.832559332132429	42.289522697783646	0.18521276270027343
