section,name,model,features_or_components,method,tuned,data,n_models,epochs,val_acc,val_f1_macro,test_acc,test_f1_macro,elapsed_s
ensemble,wens_4model,,"sent-latest-raw, roberta-large-raw, bertweet, xlm",weighted,,raw,4,,0.825,0.8284,0.8158,0.8188,
transformer,deberta_v3_large_cleaned_fix,microsoft/deberta-v3-large,,,,cleaned,,5,0.8087,0.8123,0.8065,0.8093,2208.1
ensemble,ens_4_deberta_swap,,"roberta-raw, bertweet, xlm, deberta-v3-large",mean,,raw,4,,0.8239,0.8273,0.8183,0.8212,
ensemble,ens_4_sent_deberta,,"roberta-raw, bertweet-sent, xlm, deberta-v3-large",mean,,raw,4,,0.8254,0.8286,0.824,0.8267,
ensemble,ens_4_no_roberta,,"bertweet, bertweet-sent, xlm, deberta-v3-large",mean,,raw,4,,0.8225,0.8258,0.8223,0.8249,
ensemble,ens_lo_db_no_xlm,,"roberta-raw, bertweet-sent, deberta-v3-large",mean,,raw,3,,0.8232,0.8264,0.8209,0.8240,
ensemble,ens_lo_db_no_roberta,,"bertweet-sent, xlm, deberta-v3-large",mean,,raw,3,,0.8210,0.8241,0.8212,0.8239,
ensemble,ens_lo_db_no_deberta,,"roberta-raw, bertweet-sent, xlm",mean,,raw,3,,0.8236,0.8266,0.8178,0.8209,
ensemble,ens_lo_db_no_sent,,"roberta-raw, xlm, deberta-v3-large",mean,,raw,3,,0.8250,0.8283,0.8161,0.8190,
ensemble,ens_2_ab,,"roberta-raw, bertweet",mean,,raw,2,,0.8188,0.8225,0.8175,0.8207,
ensemble,ens_2_ad,,"roberta-raw, xlm",mean,,raw,2,,0.8207,0.8241,0.8172,0.8200,
ensemble,ens_2_ae,,"roberta-raw, deberta-v3-large",mean,,raw,2,,0.8159,0.8195,0.8175,0.8205,
ensemble,ens_2_be,,"bertweet, deberta-v3-large",mean,,raw,2,,0.8156,0.8190,0.8113,0.8141,
ensemble,ens_2_de,,"xlm, deberta-v3-large",mean,,raw,2,,0.8181,0.8214,0.8161,0.8186,
ensemble,ens_4_abce,,"roberta-raw, bertweet, bertweet-sent, deberta-v3-large",mean,,raw,4,,0.8225,0.8258,0.8237,0.8267,
ensemble,ens_5_abcde,,"roberta-raw, bertweet, bertweet-sent, xlm, deberta-v3-large",mean,,raw,5,,0.8254,0.8285,0.8248,0.8276,
ensemble,ens_5_acdef,,"roberta-raw, bertweet-sent, xlm, deberta-v3-large, roberta-large-raw",mean,,raw,5,,0.8258,0.8290,0.8220,0.8248,
ensemble,ens_5_abcdf,,"roberta-raw, bertweet, bertweet-sent, xlm, roberta-large-raw",mean,,raw,5,,0.8276,0.8307,0.8214,0.8245,
ensemble,ens_5_bcdef,,"bertweet, bertweet-sent, xlm, deberta-v3-large, roberta-large-raw",mean,,raw,5,,0.8261,0.8294,0.8212,0.8238,
